key,value
single.heraklion_1941__maleme_1941.crt.RISK,0.0125
single.heraklion_1941__maleme_1941.lanchester.AIR,0.014
single.heraklion_1941__maleme_1941.lanchester.DENIAL,0.01
single.heraklion_1941__maleme_1941.lanchester.HOLD,0.171
single.heraklion_1941__maleme_1941.lanchester.MASS,0.012
single.heraklion_1941__maleme_1941.lanchester.RESPONSE,0.013
single.heraklion_1941__maleme_1941.lanchester.RISK,0.011
single.heraklion_1941__rethymno_1941.crt.AIR,0.015
single.heraklion_1941__rethymno_1941.crt.DENIAL,0.0125
single.heraklion_1941__rethymno_1941.crt.HOLD,0.02
single.heraklion_1941__rethymno_1941.crt.MASS,0.01
single.heraklion_1941__rethymno_1941.crt.RESPONSE,0.01
single.heraklion_1941__rethymno_1941.crt.RISK,0.0125
single.heraklion_1941__rethymno_1941.lanchester.AIR,0.012
single.heraklion_1941__rethymno_1941.lanchester.DENIAL,0.01
single.heraklion_1941__rethymno_1941.lanchester.HOLD,0.019
single.heraklion_1941__rethymno_1941.lanchester.MASS,0.006
single.heraklion_1941__rethymno_1941.lanchester.RESPONSE,0.008
single.heraklion_1941__rethymno_1941.lanchester.RISK,0.011
single.heraklion_1941__ypenburg_1940.crt.AIR,0.015
single.heraklion_1941__ypenburg_1940.crt.DENIAL,0.0175
single.heraklion_1941__ypenburg_1940.crt.HOLD,0.16
single.heraklion_1941__ypenburg_1940.crt.MASS,0.0075
single.heraklion_1941__ypenburg_1940.crt.RESPONSE,0.005
single.heraklion_1941__ypenburg_1940.crt.RISK,0.0125
single.heraklion_1941__ypenburg_1940.lanchester.AIR,0.014
single.heraklion_1941__ypenburg_1940.lanchester.DENIAL,0.011
single.heraklion_1941__ypenburg_1940.lanchester.HOLD,0.261
single.heraklion_1941__ypenburg_1940.lanchester.MASS,0.005
single.heraklion_1941__ypenburg_1940.lanchester.RESPONSE,0.007
single.heraklion_1941__ypenburg_1940.lanchester.RISK,0.013
single.hostomel_2022__heraklion_1941.crt.AIR,0.6175
single.hostomel_2022__heraklion_1941.crt.DENIAL,0.0
single.hostomel_2022__heraklion_1941.crt.HOLD,0.005
single.hostomel_2022__heraklion_1941.crt.MASS,0.4575
single.hostomel_2022__heraklion_1941.crt.RESPONSE,0.38
single.hostomel_2022__heraklion_1941.crt.RISK,0.8925
single.hostomel_2022__heraklion_1941.lanchester.AIR,0.601
single.hostomel_2022__heraklion_1941.lanchester.DENIAL,0.0
single.hostomel_2022__heraklion_1941.lanchester.HOLD,0.002
single.hostomel_2022__heraklion_1941.lanchester.MASS,0.435
single.hostomel_2022__heraklion_1941.lanchester.RESPONSE,0.346
single.hostomel_2022__heraklion_1941.lanchester.RISK,0.899
single.hostomel_2022__maleme_1941.crt.AIR,0.6425
single.hostomel_2022__maleme_1941.crt.DENIAL,0.0
single.hostomel_2022__maleme_1941.crt.HOLD,0.0
single.hostomel_2022__maleme_1941.crt.MASS,0.4725
single.hostomel_2022__maleme_1941.crt.RESPONSE,0.38
single.hostomel_2022__maleme_1941.crt.RISK,0.8925
single.hostomel_2022__maleme_1941.lanchester.AIR,0.626
single.hostomel_2022__maleme_1941.lanchester.DENIAL,0.0
